User,Message,Response
User1,hii,"Sorry, I didn't understand that."
User1,hello,Hello! How can I help you today?
User1,hello,Hello! How can I help you today?
User1,hello,Hello! How can I help you today?
User1,hello,Hello! How can I help you today?
User1,hello,Hello! How can I help you today?
User1,order,Please provide your order ID.
User1,order id :123457891,Please provide your order ID.
User1,hello,Hello! How can I help you today?
User1,hii,"Sorry, I didn't understand that."
User1,hello,"Hey! I'm Nova, your virtual assistant. What do you need help with today?"
User1,help,"As your assistant, I can track shipments, process returns, and answer general account questions. Just ask!"
User1,refund,I can help with returns! Please note that refunds are usually credited back to your original payment method within 5-7 days.
